"","x","y","z","t","class"
"388",2.7502,-8.3248,1.4832,2021-12-18 13:59:06,2
"389",2.7502,-8.3248,1.4832,2021-12-18 13:59:07,2
"390",2.7502,-8.3248,1.4832,2021-12-18 13:59:08,2
"391",1.3751,-4.1624,0.7416,2021-12-18 13:59:09,2
"392",4.1253,-12.4872,2.2248,2021-12-18 13:59:10,2
"393",6.8755,-20.812,3.708,2021-12-18 13:59:11,2
"394",1.3751,-4.1624,0.7416,2021-12-18 13:59:12,2
"395",4.1253,-12.4872,2.2248,2021-12-18 13:59:13,2
"396",4.1253,-12.4872,2.2248,2021-12-18 13:59:14,2
"397",2.7502,-8.3248,1.4832,2021-12-18 13:59:15,2
"398",2.7502,-8.3248,1.4832,2021-12-18 13:59:16,2
"399",2.7502,-8.3248,1.4832,2021-12-18 13:59:17,2
"400",2.7502,-8.3248,1.4832,2021-12-18 13:59:18,2
"401",2.7502,-8.3248,1.4832,2021-12-18 13:59:19,2
"402",4.1253,-12.4872,2.2248,2021-12-18 13:59:20,2
"403",2.7502,-8.3248,1.4832,2021-12-18 13:59:21,2
"404",2.7502,-8.3248,1.4832,2021-12-18 13:59:22,2
"405",2.7502,-8.3248,1.4832,2021-12-18 13:59:23,2
"406",4.1253,-12.4872,2.2248,2021-12-18 13:59:24,2
"407",4.1253,-12.4872,2.2248,2021-12-18 13:59:25,2
